Private School Name,State Name [Private School] Latest available year,Phone Number [Private School] 2009-10,Mailing Address [Private School] 2009-10,City [Private School] 2009-10,State Abbr [Private School] Latest available year,ZIP [Private School] 2009-10
SACRED HEART CATHOLIC SCHOOL,TEXAS,9407592511,PO BOX 588,MUENSTER,TX ,76252
SACRED HEART CATHOLIC SCHOOL,MISSISSIPPI,6015838683,608 SOUTHERN AVE,HATTIESBURG,MS ,39401
SACRED HEART CATHOLIC SCHOOL,TEXAS,3617984251,313 S TEXANA ST,HALLETTSVILLE,TX ,77964
SACRED HEART CATHOLIC SCHOOL,WISCONSIN,7155265328,124 E CENTER ST,SHAWANO,WI ,54166
SACRED HEART CATHOLIC SCHOOL,WISCONSIN,6085243611,545 N OAK ST,REEDSBURG,WI ,53959
SACRED HEART CATHOLIC SCHOOL,NORTH CAROLINA,7046332841,385 LUMEN CHRISTIE LN,SALISBURY,NC ,28147
SACRED HEART CATHOLIC SCHOOL,OREGON,5417724105,431 S IVY ST,MEDFORD,OR ,97501
SACRED HEART CATHOLIC SCHOOL,OKLAHOMA,4056345673,2700 S SHARTEL AVE,OKLAHOMA CITY,OK ,73109
SACRED HEART CATHOLIC SCHOOL,OREGON,5037924541,PO BOX 215,GERVAIS,OR ,97026
SACRED HEART CATHOLIC SCHOOL,PENNSYLVANIA,6104469198,109 N MANOA RD,HAVERTOWN,PA ,19083
SACRED HEART CATHOLIC SCHOOL,NEW MEXICO,5053257152,404 N ALLEN AVE,FARMINGTON,NM ,87401
SACRED HEART CATHOLIC SCHOOL,FLORIDA,3864284732,1003 TURNBULL ST,NEW SMYRNA BEACH,FL ,32168
SACRED HEART CATHOLIC SCHOOL,KANSAS,7852424297,426 S CEDAR ST,OTTAWA,KS ,66067
SACRED HEART CATHOLIC SCHOOL,MISSOURI,3148313372,501 SAINT LOUIS ST,FLORISSANT,MO ,63031
SACRED HEART CATHOLIC SCHOOL,MINNESOTA,7635371329,4050 HUBBARD AVE N,MINNEAPOLIS,MN ,55422
SACRED HEART CATHOLIC SCHOOL,KANSAS,6204426550,312 S B ST,ARKANSAS CITY,KS ,67005
SACRED HEART CATHOLIC SCHOOL,ALABAMA,2562374231,16 MORTON RD,FORT MCCLELLAN,AL ,36205
SACRED HEART CATHOLIC SCHOOL,ARKANSAS,5013548113,106 N SAINT JOSEPH ST,MORRILTON,AR ,72110
SACRED HEART CATHOLIC SCHOOL,CALIFORNIA,2098923544,505 M ST,PATTERSON,CA ,95363
SACRED HEART CATHOLIC SCHOOL,ARIZONA,5202872223,207 W OAK ST,NOGALES,AZ ,85621
SACRED HEART CATHOLIC SCHOOL,GEORGIA,4789239668,250 S DAVIS DR,WARNER ROBINS,GA ,31088
SACRED HEART CATHOLIC SCHOOL,NEW YORK,7185270123,11550 221ST ST,CAMBRIA HEIGHTS,NY ,11411
SACRED HEART CATHOLIC SCHOOL,TEXAS,9367563848,615 MCDADE ST,CONROE,TX ,77301
SACRED HEART CATHOLIC SCHOOL,OKLAHOMA,4052622284,210 S EVANS AVE,EL RENO,OK ,73036
SACRED HEART CATHOLIC SCHOOL,LOUISIANA,3189852772,PO BOX 179,MOREAUVILLE,LA ,71355
SACRED HEART ELEMENTARY,ALABAMA,2567344563,112 2ND AVE SE,CULLMAN,AL ,35055
SACRED HEART ELEMENTARY,CALIFORNIA,6263327222,360 W WORKMAN ST,COVINA,CA ,91723
SACRED HEART ELEMENTARY,NEBRASKA,4023714584,2301 W MADISON AVE,NORFOLK,NE ,68701
SACRED HEART ELEMENTARY,MISSISSIPPI,2283924180,10482 LEMOYNE BLVD,DIBERVILLE,MS ,39540
SACRED HEART ELEMENTARY & HIGH SCHOOL,MISSOURI,6608273800,416 W 3RD ST,SEDALIA,MO ,65301
SACRED HEART ELEMENTARY SCHOOL,MISSOURI,6369384602,350 E 4TH ST,EUREKA,MO ,63025
SACRED HEART ELEMENTARY SCHOOL,MISSOURI,6362253824,12 ANN AVE,VALLEY PARK,MO ,63088
SACRED HEART ELEMENTARY SCHOOL,NEBRASKA,4024555858,2205 BINNEY ST,OMAHA,NE ,68110
SACRED HEART ELEMENTARY SCHOOL,NEW JERSEY,6092671728,250 HIGH ST,MOUNT HOLLY,NJ ,08060
SACRED HEART ELEMENTARY SCHOOL,NEW JERSEY,9087560632,1 SACRED HEART DR,SOUTH PLAINFIELD,NJ ,07080
SACRED HEART ELEMENTARY SCHOOL,NEW JERSEY,7327210834,PO BOX 728,SOUTH AMBOY,NJ ,08879
SACRED HEART ELEMENTARY SCHOOL,OHIO,7406223728,39 BURT AVE,COSHOCTON,OH ,43812
SACRED HEART ELEMENTARY SCHOOL,OHIO,5138584215,400 NILLES RD,FAIRFIELD,OH ,45014
SACRED HEART ELEMENTARY SCHOOL,MONTANA,4062343850,519 N CENTER AVE,MILES CITY,MT ,59301
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,8056476174,10770 HENDERSON RD,VENTURA,CA ,93004
SACRED HEART ELEMENTARY SCHOOL,WISCONSIN,6086547733,710 KENYON ST,CASHTON,WI ,54619
SACRED HEART ELEMENTARY SCHOOL,WISCONSIN,7155924902,7379 CHURCH ST,CUSTER,WI ,54423
SACRED HEART ELEMENTARY SCHOOL,WEST VIRGINIA,3042353027,126 W 4TH AVE,WILLIAMSON,WV ,25661
SACRED HEART ELEMENTARY SCHOOL,VIRGINIA,4347932656,540 CENTRAL BLVD,DANVILLE,VA ,24541
SACRED HEART ELEMENTARY SCHOOL,TENNESSEE,9317626125,220 BERGER ST,LAWRENCEBURG,TN ,38464
SACRED HEART ELEMENTARY SCHOOL,PENNSYLVANIA,4124411582,325 EMERSON ST,PITTSBURGH,PA ,15206
SACRED HEART ELEMENTARY SCHOOL,PENNSYLVANIA,5702820340,27 FARVIEW ST 33,CARBONDALE,PA ,18407
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,6619487131,45002 DATE AVE,LANCASTER,CA ,93534
SACRED HEART ELEMENTARY SCHOOL,KANSAS,7854342157,PO BOX 408,PLAINVILLE,KS ,67663
SACRED HEART ELEMENTARY SCHOOL,MINNESOTA,2187731579,117 4TH ST NW,EAST GRAND FORKS,MN ,56721
SACRED HEART ELEMENTARY SCHOOL,MASSACHUSETTS,7815852114,329 BISHOPS HWY,KINGSTON,MA ,02364
SACRED HEART ELEMENTARY SCHOOL,MARYLAND,4108330857,PO BOX 3672,GLYNDON,MD ,21071
SACRED HEART ELEMENTARY SCHOOL,MASSACHUSETTS,7813356010,75 COMMERCIAL ST,WEYMOUTH,MA ,02188
SACRED HEART ELEMENTARY SCHOOL,IOWA,5636523743,806 EDDY ST,MAQUOKETA,IA ,52060
SACRED HEART ELEMENTARY SCHOOL,IOWA,3192831366,601 1ST AVE SW,OELWEIN,IA ,50662
SACRED HEART ELEMENTARY SCHOOL,IOWA,6417325221,218 S 12TH ST,OSAGE,IA ,50461
SACRED HEART ELEMENTARY SCHOOL,INDIANA,5742675874,135 N HARRISON ST,WARSAW,IN ,46580
SACRED HEART ELEMENTARY SCHOOL,INDIANA,7658840710,607 N WASHINGTON AVE,FOWLER,IN ,47944
SACRED HEART ELEMENTARY SCHOOL,ILLINOIS,2173424060,407 S HENRIETTA ST,EFFINGHAM,IL ,62401
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,7603442662,428 S IMPERIAL AVE,BRAWLEY,CA ,92227
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,9164561576,3933 I ST,SACRAMENTO,CA ,95816
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,5303651429,3167 SAINT STEPHANS DR,ANDERSON,CA ,96007
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,5592513171,4460 E YALE AVE,FRESNO,CA ,93703
SACRED HEART ELEMENTARY SCHOOL,CALIFORNIA,3232254177,2109 SICHEL ST,LOS ANGELES,CA ,90031
SACRED HEART GRADE SCHOOL,WEST VIRGINIA,3043465491,1035 QUARRIER ST,CHARLESTON,WV ,25301
SACRED HEART GRADE SCHOOL,NEW JERSEY,8569631341,404 JASPER ST,CAMDEN,NJ ,08104
SACRED HEART GRIFFIN HIGH SCHOOL,ILLINOIS,2177871595,1200 W WASHINGTON ST,SPRINGFIELD,IL ,62702
SACRED HEART HIGH SCHOOL,CONNECTICUT,2037531605,142 S ELM ST,WATERBURY,CT ,06706
SACRED HEART HIGH SCHOOL,CALIFORNIA,3232252209,2111 GRIFFIN AVE,LOS ANGELES,CA ,90031
SACRED HEART HIGH SCHOOL,MASSACHUSETTS,7815857511,399 BISHOPS HWY,KINGSTON,MA ,02364
SACRED HEART HIGH SCHOOL,MINNESOTA,2187730230,122 3RD ST NW,EAST GRAND FORKS,MN ,56721
SACRED HEART HIGH SCHOOL,NEW YORK,9149653114,34 CONVENT AVE,YONKERS,NY ,10703
SACRED HEART HIGH SCHOOL,LOUISIANA,3373631475,114 TROJAN LN,VILLE PLATTE,LA ,70586
SACRED HEART HIGH SCHOOL,NEW JERSEY,8566914491,15 N EAST AVE,VINELAND,NJ ,08360
SACRED HEART INTERPAROCHIAL SCHOOL,FLORIDA,7275441106,7951 46TH WAY,PINELLAS PARK,FL ,33781
SACRED HEART JR-SR HIGH SCHOOL,KANSAS,7858274422,234 E CLOUD ST,SALINA,KS ,67401
SACRED HEART KINDERGARTEN,MISSOURI,3148376939,751 N JEFFERSON ST,FLORISSANT,MO ,63031
SACRED HEART KINDERGARTEN & PREKINDERGARTEN,OHIO,7402823801,36 VILLA DR,STEUBENVILLE,OH ,43953
SACRED HEART MANOR NURSERY & KDGN,CONNECTICUT,2032304889,261 BENHAM ST,HAMDEN,CT ,06514
SACRED HEART MODEL SCHOOL,KENTUCKY,5028963931,3107 LEXINGTON RD,LOUISVILLE,KY ,40206
SACRED HEART NATIVTY SCHOOLS,CALIFORNIA,4089931293,310 EDWARDS AVE,SAN JOSE,CA ,95110
SACRED HEART OF JESUS ELEMENTARY SCHOOL,MASSACHUSETTS,9786320950,53 LYNDE ST,GARDNER,MA ,01440
SACRED HEART OF JESUS ELEMENTARY SCHOOL,PENNSYLVANIA,2154624219,1329 E MOYAMENSING AVE,PHILADELPHIA,PA ,19147
SACRED HEART OF JESUS PARISH SCHOOL,PENNSYLVANIA,6108376391,115 WASHINGTON ST,BATH,PA ,18014
SACRED HEART OF JESUS SCHOOL,PENNSYLVANIA,7172485351,110 N DORCAS ST,LEWISTOWN,PA ,17044
SACRED HEART OF JESUS SCHOOL,NEW YORK,2122464787,456 W 52ND ST,NEW YORK,NY ,10019
SACRED HEART OF JESUS SCHOOL,LOUISIANA,9857649958,453 SPRUCE ST,NORCO,LA ,70079
SACRED HEART OF JESUS SCHOOL,COLORADO,3034472362,1317 MAPLETON AVE,BOULDER,CO ,80304
SACRED HEART OF JESUS SCHOOL,MICHIGAN,6164590948,1200 DAYTON ST SW,GRAND RAPIDS,MI ,49504
SACRED HEART OF MARY SCHOOL,MARYLAND,4106337040,6726 YOUNGSTOWN AVE,BALTIMORE,MD ,21222
SACRED HEART PARISH SCHOOL,CALIFORNIA,5305276727,2255 MONROE AVE,RED BLUFF,CA ,96080
SACRED HEART PARISH SCHOOL,CALIFORNIA,9098991049,12676 FOOTHILL BLVD,RANCHO CUCAMONGA,CA ,91739
SACRED HEART PARISH SCHOOL,CALIFORNIA,6194374431,706 C AVE,CORONADO,CA ,92118
SACRED HEART PARISH SCHOOL,CALIFORNIA,8316374157,670 COLLEGE ST,HOLLISTER,CA ,95023
SACRED HEART PARISH SCHOOL,TEXAS,8302782661,401 W LEONA ST,UVALDE,TX ,78801
SACRED HEART PREPARATORY,CALIFORNIA,6504548446,150 VALPARAISO AVE,ATHERTON,CA ,94027
SACRED HEART PRESCHOOL,KENTUCKY,5028963941,3105 LEXINGTON RD,LOUISVILLE,KY ,40206
SACRED HEART SCHOOL,MISSOURI,5735432997,17740 STATE ROUTE N,SAINT MARY,MO ,63673
SACRED HEART SCHOOL,INDIANA,8122833123,1842 E 8TH ST,JEFFERSONVILLE,IN ,47130
SACRED HEART SCHOOL,ILLINOIS,6306290536,322 W MAPLE ST,LOMBARD,IL ,60148
SACRED HEART SCHOOL,SOUTH DAKOTA,6056655841,1500 SAINT BENEDICT DR # 200,YANKTON,SD ,57078
SACRED HEART SCHOOL,NEW YORK,5182743655,308 SPRING AVE,TROY,NY ,12180
SACRED HEART SCHOOL,MINNESOTA,3202512854,324 3RD AVE S,SAUK RAPIDS,MN ,56379
SACRED HEART SCHOOL,ARIZONA,9284452621,131 N SUMMIT AVE,PRESCOTT,AZ ,86301
SACRED HEART SCHOOL,FLORIDA,9047715800,5752 BLANDING BLVD,JACKSONVILLE,FL ,32244
SACRED HEART SCHOOL,CONNECTICUT,8604450611,50 SACRED HEART DR,GROTON,CT ,06340
SACRED HEART SCHOOL,CONNECTICUT,8608871757,15 HUNTERS AVE,TAFTVILLE,CT ,06380
SACRED HEART SCHOOL,ILLINOIS,7737683728,2906 E 96TH ST,CHICAGO,IL ,60617
SACRED HEART SCHOOL,ILLINOIS,8474460005,1095 GAGE ST,WINNETKA,IL ,60093
SACRED HEART SCHOOL,ILLINOIS,7086810240,815 N 16TH AVE,MELROSE PARK,IL ,60160
SACRED HEART SCHOOL,KANSAS,7857983530,510 S SCHOOL ST,NESS CITY,KS ,67560
SACRED HEART SCHOOL,KANSAS,6206723687,330 N OAK ST,PRATT,KS ,67124
SACRED HEART SCHOOL,KANSAS,9134225520,21801 JOHNSON DR,SHAWNEE,KS ,66218
SACRED HEART SCHOOL,KANSAS,6203437394,102 COTTONWOOD ST,EMPORIA,KS ,66801
SACRED HEART SCHOOL,CONNECTICUT,8602297663,35 ORANGE ST,NEW BRITAIN,CT ,06053
SACRED HEART SCHOOL,IOWA,5152231284,1601 GRAND AVE,WEST DES MOINES,IA ,50265
SACRED HEART SCHOOL,IOWA,5154324124,1111 MARSHALL ST,BOONE,IA ,50036
SACRED HEART SCHOOL,IOWA,7122331624,5010 MILITARY RD,SIOUX CITY,IA ,51103
SACRED HEART SCHOOL,IOWA,7122626428,PO BOX 817,SPENCER,IA ,51301
SACRED HEART SCHOOL,IOWA,3192346593,620 W 5TH ST,WATERLOO,IA ,50702
SACRED HEART SCHOOL,IOWA,3194654605,234 N SYCAMORE ST,MONTICELLO,IA ,52310
SACRED HEART SCHOOL,ILLINOIS,2175622425,3 E 4TH ST,PANA,IL ,62557
SACRED HEART SCHOOL,CALIFORNIA,2096347787,1225 COOPER AVE,TURLOCK,CA ,95380
SACRED HEART SCHOOL,MASSACHUSETTS,6173283830,370 HANCOCK ST,NORTH QUINCY,MA ,02171
SACRED HEART SCHOOL,MASSACHUSETTS,6173232500,1035 CANTERBURY ST,ROSLINDALE,MA ,02131
SACRED HEART SCHOOL,MASSACHUSETTS,7815927581,571 BOSTON ST R,LYNN,MA ,01905
SACRED HEART SCHOOL,MICHIGAN,5174486405,208 S MARKET ST,HUDSON,MI ,49247
SACRED HEART SCHOOL,MICHIGAN,9065245157,433 BARAGA AVE,LANSE,MI ,49946
SACRED HEART SCHOOL,MICHIGAN,3135619192,22513 GARRISON ST,DEARBORN,MI ,48124
SACRED HEART SCHOOL,MINNESOTA,3208362591,PO BOX 39,FREEPORT,MN ,56331
SACRED HEART SCHOOL,MINNESOTA,5075823120,PO BOX 249,ADAMS,MN ,55909
SACRED HEART SCHOOL,MINNESOTA,5078352780,308 ELM AVE W,WASECA,MN ,56093
SACRED HEART SCHOOL,MISSISSIPPI,6623490900,5150 TCHULAHOMA RD,SOUTHAVEN,MS ,38671
SACRED HEART SCHOOL,MICHIGAN,9894268574,330 N SILVERLEAF ST,GLADWIN,MI ,48624
SACRED HEART SCHOOL,LOUISIANA,2253837481,2251 MAIN ST,BATON ROUGE,LA ,70802
SACRED HEART SCHOOL,KANSAS,7854602813,1150 W 6TH ST,COLBY,KS ,67701
SACRED HEART SCHOOL,CALIFORNIA,8317711310,123 W MARKET ST,SALINAS,CA ,93901
SACRED HEART SCHOOL,IDAHO,2083449738,3901 CASSIA ST,BOISE,ID ,83705
SACRED HEART SCHOOL,TEXAS,9799683223,545 E PEARL ST,LA GRANGE,TX ,78945
SACRED HEART SCHOOL,TEXAS,8303932117,1007 TRAIL ST,FLORESVILLE,TX ,78114
SACRED HEART SCHOOL,PENNSYLVANIA,7176328715,55 BASILICA DR,HANOVER,PA ,17331
SACRED HEART SCHOOL,PENNSYLVANIA,6103733316,701 FRANKLIN ST,WEST READING,PA ,19611
SACRED HEART SCHOOL,PENNSYLVANIA,6109487206,LEWIS RD & WASHINGTON ST,ROYERSFORD,PA ,19468
SACRED HEART SCHOOL,PENNSYLVANIA,6104373031,325 N 4TH ST,ALLENTOWN,PA ,18102
SACRED HEART SCHOOL,PENNSYLVANIA,6108670221,1814 2ND ST,BETHLEHEM,PA ,18020
SACRED HEART SCHOOL,PENNSYLVANIA,7173938433,235 NEVIN ST,LANCASTER,PA ,17603
SACRED HEART SCHOOL,TENNESSEE,9318534388,PO BOX 277,LORETTO,TN ,38469
SACRED HEART SCHOOL,RHODE ISLAND,4014341080,56 PURCHASE ST,EAST PROVIDENCE,RI ,02914
SACRED HEART SCHOOL,WASHINGTON,4254511773,9450 NE 14TH ST,CLYDE HILL,WA ,98004
SACRED HEART SCHOOL,NEW YORK,9146671734,71 SHARPE BLVD S,MOUNT VERNON,NY ,10550
SACRED HEART SCHOOL,TEXAS,3617292672,111 N CHURCH ST,ROCKPORT,TX ,78382
SACRED HEART SCHOOL,CALIFORNIA,4088679241,13718 SARATOGA AVE,SARATOGA,CA ,95070
SACRED HEART SCHOOL,NEW YORK,8455611433,24 S ROBINSON AVE,NEWBURGH,NY ,12550
SACRED HEART SCHOOL,NEW YORK,8453571684,60 WASHINGTON AVE,SUFFERN,NY ,10901
SACRED HEART SCHOOL,NEW YORK,8454462674,7 COZZENS AVE,HIGHLAND FALLS,NY ,10928
SACRED HEART SCHOOL,NEW YORK,9149467242,59 WILSON ST,HARTSDALE,NY ,10530
SACRED HEART SCHOOL,NEW YORK,7184420347,301 N BURGHER AVE,STATEN ISLAND,NY ,10310
SACRED HEART SCHOOL,NEW YORK,7184566636,8405 78TH AVE,GLENDALE,NY ,11385
SACRED HEART SCHOOL,NEW YORK,7182934288,95 W 168TH ST,BRONX,NY ,10452
SACRED HEART SCHOOL,NEW YORK,8457830365,26 STILL RD,MONROE,NY ,10950
SACRED HEART SCHOOL,MISSOURI,6365286684,110 THOMPSON DR,TROY,MO ,63379
SACRED HEART SCHOOL,MISSOURI,5737855836,111 N 8TH ST,POPLAR BLUFF,MO ,63901
SACRED HEART SCHOOL,MISSOURI,5737445898,4309 HIGHWAY U,FREEBURG,MO ,65035
SACRED HEART SCHOOL,NEBRASKA,4027567393,PO BOX 25,LAWRENCE,NE ,68957
SACRED HEART SCHOOL,NEBRASKA,4022454151,1820 FULTON ST,FALLS CITY,NE ,68355
SACRED HEART SCHOOL,NEBRASKA,4024761783,540 N 31ST ST,LINCOLN,NE ,68503
SACRED HEART SCHOOL,NEW HAMPSHIRE,6039263254,289 LAFAYETTE RD,HAMPTON,NH ,03842
SACRED HEART SCHOOL,NEW JERSEY,9736277689,40 E MAIN ST,ROCKAWAY,NJ ,07866
SACRED HEART SCHOOL,NEW JERSEY,9734733711,43 CLIFTON AVE,CLIFTON,NJ ,07011
SACRED HEART SCHOOL,NEW JERSEY,2019394277,620 VALLEY BROOK AVE,LYNDHURST,NJ ,07071
SACRED HEART SCHOOL,NEW JERSEY,2013327111,183 BAYVIEW AVE,JERSEY CITY,NJ ,07305
SACRED HEART SCHOOL,OHIO,3303346272,110 HUMBOLT AVE,WADSWORTH,OH ,44281
SACRED HEART SCHOOL,OHIO,4193422797,5754 STATE ROUTE 61 S,SHELBY,OH ,44875
SACRED HEART SCHOOL,OHIO,4193327102,500 SMITH RD,FREMONT,OH ,43420
SACRED HEART SCHOOL,NEW YORK,5163785797,730 MERRICK AVE,NORTH MERRICK,NY ,11566
SACRED HEART SCHOOL,NEW YORK,7186314804,21601 38TH AVE,BAYSIDE,NY ,11361
SACRED HEART SCHOOL,DISTRICT OF COLUMBIA,2022654828,1625 PARK RD NW,WASHINGTON,DC ,20010
SACRED HEART SCHOOL,PENNSYLVANIA,6109323633,205 CHURCH RD,OXFORD,PA ,19363
SACRED HEART SCHOOL,CALIFORNIA,7603463513,43775 DEEP CANYON RD,PALM DESERT,CA ,92260
SACRED HEART SCHOOL,FLORIDA,5615822242,410 N M ST,LAKE WORTH,FL ,33460
SACRED HEART SCHOOLS,ILLINOIS,7732624446,6250 N SHERIDAN RD,CHICAGO,IL ,60660
SACRED HEART VILLA SCHOOL,NEW YORK,7162848273,5269 LEWISTON RD,LEWISTON,NY ,14092
SACRED HEARTS SCHOOL,WISCONSIN,6088378508,219 COLUMBUS ST,SUN PRAIRIE,WI ,53590
SACRED HEARTS SCHOOL,MASSACHUSETTS,9783725451,31 S CHESTNUT ST,BRADFORD,MA ,01835
SACRED HEARTS SCHOOL & EARLY LEARNING CENTER,HAWAII,8086614720,239 DICKENSON ST,LAHAINA,HI ,96761
SACRED LIFE ACADEMY FOR BOYS,MARYLAND,3013412083,7230 CENTRAL AVE,CAPITOL HEIGHTS,MD ,20743
SADDLE RIVER DAY SCHOOL,NEW JERSEY,2013274050,147 CHESTNUT RIDGE RD,SADDLE RIVER,NJ ,07458
SADDLEBACK VALLEY CHRISTIAN SCHOOL,CALIFORNIA,9494434050,26333 OSO RD,SAN JUAN CAPISTRANO,CA ,92675
SADDLEBROOK PREPARATORY SCHOOL,FLORIDA,8139074500,5700 SADDLEBROOK WAY,WESLEY CHAPEL,FL ,33543
SAFE HARBOR ACADEMY,FLORIDA,9047577918,4772 SAFE HARBOR WAY,JACKSONVILLE,FL ,32226
SAFE HAVEN CHRISTIAN ACADEMY,ALABAMA,2514576088,803 N DR MLK JR DR,PRICHARD,AL ,36610
SAFETY HARBOR MONTESSORI ACADEMY,FLORIDA,7277241767,2669 N MCMULLEN BOOTH RD,CLEARWATER,FL ,33761
SAFFORD CHRISTIAN ACADEMY,ARIZONA,9284284234,PO BOX 1074,SAFFORD,AZ ,85548
SAGE ACADEMY,CALIFORNIA,8183434600,5901 LINDLEY AVE,TARZANA,CA ,91356
SAGE DAY AT BOONTON,NEW JERSEY,9734024700,215 HILL ST,BOONTON,NJ ,07005
SAGE DAY AT ROCHELLE PARK,NEW JERSEY,2018433800,295 ROCHELLE AVE,ROCHELLE PARK,NJ ,07662
SAGE DAY SCHOOL AT MAHWAH,NEW JERSEY,2028188873,900 DARLINGTON AVE,MAHWAH,NJ ,07430
SAGE HILL SCHOOL,CALIFORNIA,9492190100,20402 NEWPORT COAST DR,NEWPORT COAST,CA ,92657
SAGE RIDGE SCHOOL,NEVADA,7758526222,2515 CROSSBOW CT,RENO,NV ,89511
SAGER SOLOMON SCHECHTER DAY SCHOOL,ILLINOIS,8474125600,3210 DUNDEE RD,NORTHBROOK,IL ,60062
SAGINAW CHIPPEWA ACADEMY,MICHIGAN,9897754478,7498 E BROADWAY RD,MOUNT PLEASANT,MI ,48858
SAGUARO HILLS ADVENTIST CHRISTIAN SCHOOL,ARIZONA,5203251454,4280 W IRVINGTON RD,TUCSON,AZ ,85746
SAHAG-MESROB ARMENIAN CHRISTIAN SCHOOL,CALIFORNIA,6267985020,2501 MAIDEN LN,ALTADENA,CA ,91001
SAHUARITA CHRISTIAN ACADEMY,ARIZONA,5206480601,PO BOX 1704,SAHUARITA,AZ ,85629
SAINTS ACADEMY,FLORIDA,4076835537,5502 BRITAN DR,ORLANDO,FL ,32808
SAINTS OF GLORY SCHOOL,CALIFORNIA,7148759387,1210 W PARK AVE,ANAHEIM,CA ,92801
SAINTS TABERNACLE DAY SCHOOL,PENNSYLVANIA,2155486012,5800 N MARVINE ST 12,PHILADELPHIA,PA ,19141
SAINTSVILLE BAPTIST CHURCH ACADEMY,TEXAS,8174513721,2200 OAK HILL RD,FORT WORTH,TX ,76112
SAKKARA YOUTH INSTITUTE INDEPENDENT SCHOOL,FLORIDA,8508780540,1209 PAUL RUSSELL RD,TALLAHASSEE,FL ,32301
SAKLAN VALLEY SCHOOL,CALIFORNIA,9253767900,1678 SCHOOL ST,MORAGA,CA ,94556
SALAH TAWFIK ELEMENTARY & MIDDLE SCHOOL,FLORIDA,9547418130,5455 NW 108TH AVE,SUNRISE,FL ,33351
SALAM ACADEMY,NEW MEXICO,5058887688,3939 SAN PEDRO DR NE,ALBUQUERQUE,NM ,87110
SALAM SCHOOL,WISCONSIN,4142820504,4707 S 13TH ST,MILWAUKEE,WI ,53221
SALEM ACADEMY,OREGON,5033781211,942 LANCASTER DR NE,SALEM,OR ,97301
SALEM ACADEMY,NORTH CAROLINA,3367212600,500 E SALEM AVE,WINSTON SALEM,NC ,27101
SALEM BAPTIST CHRISTIAN SCHOOL,NORTH CAROLINA,3367256113,429 S BROAD ST,WINSTON SALEM,NC ,27101
SALEM BOYS & GIRLS CLUB,NEW HAMPSHIRE,6038987709,3 GEREMONTY DR,SALEM,NH ,03079
SALEM CHILD DEVELOPMENT CENTER,OREGON,5033639821,PO BOX 7422,SALEM,OR ,97303
SALEM CHRISTIAN ACADEMY,ILLINOIS,7739280145,11816 S INDIANA AVE,CHICAGO,IL ,60628
SALEM CHRISTIAN ACADEMY ELEMENTARY,OHIO,9378369910,PO BOX 309,CLAYTON,OH ,45315
SALEM CHRISTIAN DAY SCHOOL,OREGON,5033752620,1550 MARKET ST NE,SALEM,OR ,97301
SALEM CHRISTIAN SCHOOL,VIRGINIA,8047844171,1701 CARDWELL RD,CROZIER,VA ,23039
SALEM CHRISTIAN SCHOOL,MISSISSIPPI,6017656230,PO BOX 925,COLLINS,MS ,39428
SALEM CHRISTIAN SCHOOL,NEW HAMPSHIRE,6038934289,101 SCHOOL ST,SALEM,NH ,03079
SALEM CHRISTIAN SCHOOL,PENNSYLVANIA,6109665823,8031 SALEM BIBLE CHURCH RD,MACUNGIE,PA ,18062
SALEM CHRISTIAN SCHOOL,ILLINOIS,7732275580,2018 N RICHMOND ST,CHICAGO,IL ,60647
SALEM COUNTY CHRISTIAN ACADEMY,NEW JERSEY,8566789464,104 SPARKS AVE,PENNSVILLE,NJ ,08070
SALEM CROSSROADS DAYCARE,PENNSYLVANIA,7244688487,77 GREENSBURG ST,DELMONT,PA ,15626
SALEM LUTHERAN EARLY CHILDHOOD CENTER,ILLINOIS,7082060350,18328 ASHLAND AVE,HOMEWOOD,IL ,60430
SALEM LUTHERAN SCHOOL,ARKANSAS,4797519500,1800 W EMMA AVE,SPRINGDALE,AR ,72762
SALEM LUTHERAN SCHOOL,WISCONSIN,4143538190,6844 N 107TH ST,MILWAUKEE,WI ,53224
SALEM LUTHERAN SCHOOL,LOUISIANA,5043675144,418 4TH ST,GRETNA,LA ,70053
SALEM LUTHERAN SCHOOL,COLORADO,7195990200,4318 N CHESTNUT ST,COLORADO SPRINGS,CO ,80907
SALEM LUTHERAN SCHOOL,CALIFORNIA,7146391946,6411 E FRANK LN,ORANGE,CA ,92869
SALEM LUTHERAN SCHOOL,TEXAS,2813518122,22601 LUTHERAN CHURCH RD,TOMBALL,TX ,77377
SALEM LUTHERAN SCHOOL,ILLINOIS,2172433419,PO BOX 1057,JACKSONVILLE,IL ,62651
SALEM LUTHERAN SCHOOL,CALIFORNIA,8182438264,1211 N BRAND BLVD,GLENDALE,CA ,91202
SALEM LUTHERAN SCHOOL,MICHIGAN,9897252234,520 W STEWART ST,OWOSSO,MI ,48867
SALEM LUTHERAN SCHOOL,MINNESOTA,7632987283,9615 PIONEER TRL,LORETTO,MN ,55357
SALEM LUTHERAN SCHOOL,MINNESOTA,6514397831,14940 62ND ST N,STILLWATER,MN ,55082
